unlearner,dataset,parameters,RunTime,PeakRSS_MB,CudaPeak_MB,AIN,AUS,UMIA,sklearn.metrics.accuracy_score.test.unlearned.on_graph:True,sklearn.metrics.accuracy_score.forget.unlearned.on_graph:True,sklearn.metrics.accuracy_score.train.unlearned.on_graph:True,sklearn.metrics.accuracy_score.test.unlearned.on_graph:False,sklearn.metrics.accuracy_score.test.original.on_graph:False,f1_macro.test.unlearned.on_graph:True,f1_macro.test.original.on_graph:True,f1_macro.forget.unlearned.on_graph:True,f1_macro.forget.original.on_graph:True,LinkTeller unlearn with sampler bfs+:,LinkTeller original with sampler bfs+:,Link Stealing Attack unlearned 0 exist/non_exist,Link Stealing Attack 0 unlearned forget/non_exist,RelearnTime
Identity,Cora,{},0.000125169754028,2200.80078125,754.45068359375,1.0,0.997056035440202,0.500921658986175,0.494464944649446,0.468289557975656,0.501538461538461,0.48339483394833904,0.48339483394833904,0.35013127516867504,0.35013127516867504,0.347618258214529,0.347618258214529,"{'auc': 0.6961935543824891, 'ap': 0.851124628646528}","{'auc': 0.6960260562693931, 'ap': 0.851037094361005}",0.9768889175849401,0.9762629552273081,
GoldModelGraph,Cora,"{'training_set': 'retain', 'data': 'global', 'cached': False, 'predictor': {'class': 'erasure.model.TorchGraphModel.TorchGraphModel', 'parameters': {'epochs': 5, 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001, 'betas': [0.9, 0.999], 'eps': 1e-08, 'weight_decay': 0, 'amsgrad': False, 'maximize': False, 'capturable': False, 'differentiable': False, 'decoupled_weight_decay': False}}, 'loss_fn': {'class': 'torch.nn.CrossEntropyLoss', 'parameters': {'ignore_index': -100, 'reduction': 'mean', 'label_smoothing': 0.0}}, 'model': {'class': 'erasure.model.graphs.GAT.GAT', 'parameters': {'in_channels': 1433, 'hidden_channels': [100], 'out_channels': 7, 'n_classes': 7}}, 'cached': False, 'fold_id': -1, 'training_set': 'retain', 'batch_size': 4, 'early_stopping_threshold': None, 'alias': 'erasure.model.graphs.GAT.GAT'}}}",0.08107972145080501,2296.046875,807.58349609375,1.0,0.987397893504067,0.49470046082949304,0.520295202952029,0.490070467648942,0.53025641025641,0.520295202952029,0.520295202952029,0.375324487054207,0.375324487054207,0.396231149650808,0.396231149650808,"{'auc': 0.6842026332515251, 'ap': 0.8747630725556741}","{'auc': 0.6833682862441051, 'ap': 0.87462677970191}",0.9767257087924701,0.9776603074802981,
Finetuning,Cora,"{'epochs': 1, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.161757469177246,2371.73828125,812.47900390625,1.0,0.9912845492040381,0.510829493087557,0.505535055350553,0.47982062780269,0.5158974358974351,0.5036900369003691,0.5036900369003691,0.356373164780646,0.356373164780646,0.365803361629059,0.365803361629059,"{'auc': 0.6954498990251561, 'ap': 0.8510500302428451}","{'auc': 0.6960460019175021, 'ap': 0.8510909094133201}",0.9790025611225891,0.9780371215709911,
Finetuning,Cora,"{'epochs': 1, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.188333511352539,2381.6796875,813.0263671875,1.0,0.9673826764387601,0.505069124423963,0.509225092250922,0.45611787315823105,0.488205128205128,0.49077490774907706,0.49077490774907706,0.34232310244845504,0.34232310244845504,0.339287232093862,0.339287232093862,"{'auc': 0.6293334753705241, 'ap': 0.7906051228613891}","{'auc': 0.6296070480667451, 'ap': 0.7909109183193721}",0.694539500114784,0.7031001033547221,
Finetuning,Cora,"{'epochs': 1, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.14157891273498502,2398.8671875,812.4736328125,1.0,0.978004593948079,0.5149769585253451,0.38191881918819104,0.34080717488789203,0.37435897435897403,0.36900369003690003,0.36900369003690003,0.19033076644344402,0.19033076644344402,0.195769508083351,0.195769508083351,"{'auc': 0.534189787374858, 'ap': 0.690091448614315}","{'auc': 0.5339683453498301, 'ap': 0.690028030557423}",0.5385168266471531,0.5449128751991731,
SuccessiveRandomLabels,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",22.069194078445435,2401.53125,813.0263671875,0.000666222518321,0.9950403469415471,0.49147465437788,0.571955719557195,0.5483664317745031,0.589230769230769,0.583025830258302,0.583025830258302,0.46907382056780106,0.46907382056780106,0.465763686062557,0.465763686062557,"{'auc': 0.6953773693956691, 'ap': 0.8503615787088691}","{'auc': 0.6951600071623001, 'ap': 0.8503832119179241}",0.9769238908976121,0.9766177884960451,
SuccessiveRandomLabels,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",21.95011019706726,2401.796875,814.1318359375,1.0,0.9971605442368431,0.49262672811059904,0.009225092250922001,0.006406149903907,0.014871794871794,0.009225092250922001,0.009225092250922001,0.00438286948762,0.00438286948762,0.002677944552,0.002677944552,"{'auc': 0.6802170902472581, 'ap': 0.8302085551202121}","{'auc': 0.6792470064528701, 'ap': 0.8301393128808411}",0.8515804350321391,0.8563548799219091,
SuccessiveRandomLabels,Cora,"{'epochs': 1, 'ref_data_retain': 'retain', 'ref_data_forget': 'forget', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 1}}, 'last_trainable_layers': -1, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",21.919904232025146,2441.8125,816.34814453125,1.0,0.9711618892642141,0.510829493087557,0.15129151291512902,0.196668802049967,0.18,0.14760147601476,0.14760147601476,0.087191793713532,0.087191793713532,0.10949065672822701,0.10949065672822701,"{'auc': 0.5549638598455571, 'ap': 0.6948950392512231}","{'auc': 0.554322652589874, 'ap': 0.694781006462149}",0.55725624497819,0.546018196531874,
Finetuning,Cora,"{'last_trainable_layers': 2, 'epochs': 1, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.001}}, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.144274473190307,2445.73046875,816.90087890625,1.0,0.987827898196966,0.502995391705069,0.49630996309963105,0.468289557975656,0.505128205128205,0.494464944649446,0.494464944649446,0.34748850289723804,0.34748850289723804,0.351586635917619,0.351586635917619,"{'auc': 0.69535742374756, 'ap': 0.850742059419717}","{'auc': 0.695112862903134, 'ap': 0.850691348480325}",0.978733535640495,0.977755856767581,
Finetuning,Cora,"{'last_trainable_layers': 2, 'epochs': 1, 'ref_data': 'retain', 'optimizer': {'class': 'torch.optim.Adam', 'parameters': {'lr': 0.1}}, 'mask_path': None, 'forget_part': 'forget', 'retain_part': 'retain', 'train_part': 'train'}",0.143439292907714,2448.25390625,817.45361328125,1.0,0.9688339798387581,0.508064516129032,0.514760147601476,0.46060217809096704,0.48974358974358906,0.498154981549815,0.498154981549815,0.369736543265955,0.369736543265955,0.366222031488871,0.366222031488871,"{'auc': 0.6399549862986991, 'ap': 0.7919207594484641}","{'auc': 0.640356392466891, 'ap': 0.7923080118913071}",0.71873206496786,0.727222485393968,
